专利名,申请号,申请日,摘要,申请人,申请人地址,发明人,IPC分类号,专利号,公开日,主分类号,转化收益（万元）
一种聚合Web站点内容的系统和方法,200910077248.7,2009-01-20,本发明公开了一种一种聚合Web站点内容和方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王桂玲；杨少华；韩燕波；赵卓峰；季光,G06F16/27,CN200910077248.7A,2010-10-06,G06F16,2
一种业务级的服务信息管理方法和装置及系统,200810117005.7,2008-07-22,本发明公开了一种一种业务级的服务信息管理方法和装置的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,赵卓峰；房俊；丁维龙；程婧；李焱；杨冬菊；韩燕波,H04L12/24,CN200810117005.7A,2011-11-02,H04L12,2
一种多播环境下移动节点加入多播组的方法,200710179582.4,2007-12-14,本发明公开了一种一种多播环境下移动节点加入多播组的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,蒋海；李军；刘靖；白翔宇；张珺,G06F21/60,CN200710179582.4A,2010-03-17,G06F21,1
一种对网络流媒体音视频的多维度的访问量统计方法,200810056069.0,2008-01-11,本发明涉及一种对网络流媒体音视频的多维度的访问量统计方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,蒋树强；黄庆明；陈熙霖；高文,G06N3/04,CN200810056069.0A,2011-04-13,G06N3,40
一种车用自组网络中确定通信目的节点位置的方法及系统,200810222475,2008-09-17,本发明涉及一种车用自组网络中确定通信目的节点位置领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,白翔宇；李军；蒋海；刘靖；张君；叶新铭,G06F16/27,CN200810222475A,2011-02-16,G06F16,5
提高TCP在异构网络中传输性能的方法,03155794.5,2003-09-02,本发明公开了一种提高TCP在异构网络中传输性能的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,吴贤国；刘敏；石晶林；李忠诚,G06F21/60,CN03155794.5A,2010-04-28,G06F21,5
一种三维人体模型关节中心提取方法,200710064660.6,2007-03-22,本发明公开了一种一种三维人体模型关节中心提取方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,毛天露；于勇；夏时洪；王兆其,G06F8/65,CN200710064660.6A,2011-07-06,G06F8,0.5
一种P2P网络中实现NAT穿越的方法和系统,200810241176.0,2008-12-26,本发明涉及一种P2P网络中实现NAT穿越和系统领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,马晨光；杨平改；李军；刘靖,G06F3/06,CN200810241176.0A,2011-03-30,G06F3,0.5
一种为P2SP网络提供索引服务的方法和系统,200810241175.6,2008-12-26,本发明涉及一种为P2SP网络提供索引服务和系统领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李军;吴海博;翟海滨;刘靖;马晨光,H04L29/08,CN200810241175.6A,2011-10-19,H04L29,0.5
一种分类目录自动构建方法及相关系统,200810223792.3,2008-10-13,本发明公开了一种一种分类目录自动构建方法及相关系统的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李亚楠；王斌；李锦涛；李鹏,G06F3/06,CN200810223792.3A,2011-06-29,G06F3,10
结构化P2P系统的分布式负载均衡方法,200510126321.7,2005-12-07,本发明公开了一种结构化P2P系统的分布式负载均衡方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李振宇；谢高岗,G06F3/06,CN200510126321.7A,2008-01-23,G06F3,5
一种人体链状结构模型的实现方法及系统,201010160883.4,2010-04-27,本发明公开了一种一种人体链状结构模型的实现方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,邓小明；黄武；夏时洪,G06F11/30,CN201010160883.4A,2011-11-16,G06F11,2
虚拟动物驱动方法和装置,200910082947.0,2009-04-24,本发明公开了一种虚拟动物驱动方法和装置的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,夏时洪；杨潇；魏毅,H04L29/08,CN200910082947.0A,2011-05-11,H04L29,2
基于最佳预测模式概率的视频帧内图像快速编码方法,200310116044.2,2003-12-30,本发明涉及基于最佳预测模式概率的视频帧内图像快速编码方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,黄晁；李锦涛；余乐军,G06F3/06,CN200310116044.2A,2009-04-01,G06F3,2
基于关键帧时刻优化的空中运动仿真方法,200810114750.6,2008-06-11,本发明公开了一种基于关键帧时刻优化的空中运动仿真方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,魏毅；夏时洪；王兆其,G06F21/60,CN200810114750.6A,2010-03-17,G06F21,1
一种多媒体视频图像的缩放方法,200710178188.9,2007-11-27,本发明公开了一种一种多媒体视频图像的缩放方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王国晖；魏铮；王贞松,G06F11/30,CN200710178188.9A,2011-10-26,G06F11,1
一种用于火灾模拟的场景预处理方法,200810116244.0,2008-07-07,本发明公开了一种一种用于火灾模拟的场景预处理方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张桂娟；朱登明；邱显杰；王兆其,G06F21/60,CN200810116244.0A,2011-08-17,G06F21,1
一种流媒体数据交换方法与装置,201010118279.5,2010-03-04,本发明公开了一种一种流媒体数据交换方法与装置的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,程学旗；叶靖；李静远；刘悦；冯凯；张铁赢；李哲中,G06F17/30,CN201010118279.5A,2011-11-16,G06F17,0.5
多节点智能网络应用服务系统中的应用管理子系统及方法,200510069519.6,2005-05-12,本发明涉及多节点智能网络应用服务系统中的应用管理子系统及方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,苏晓丽；史红周；李锦涛；郭俊波；叶剑；蒋发群；朱珍民,G06F16/27,CN200510069519.6A,2008-05-28,G06F16,0.5
一种终端网络环境中的分布式设备重定向系统及其方法,200410073676,2004-08-31,本发明涉及一种终端网络环境中的分布式设备重定向系统及其方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,"叶剑；朱珍民；李锦涛；
史红周；郭俊波；顾晓光",G06F9/50,CN200410073676A,2009-07-08,G06F9,0.5
一种面向服务体系结构的服务调试装置及方法,200610127866.4,2006-09-22,本发明公开了一种一种面向服务体系结构的服务调试装置及方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,岳强；徐志伟；李伟,G06F17/30,CN200610127866.4A,2009-07-08,G06F17,0.5
一种基于运动捕获数据的虚拟角色运动合成方法,200710120122.4,2007-08-09,本发明涉及一种基于运动捕获数据的虚拟角色运动合成方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,夏时洪；李淳芃,H04L12/24,CN200710120122.4A,2009-04-15,H04L12,0.5
在多节点智能网络应用服务系统中实现剪贴板共享的方法,200710064608.0,2007-03-21,本发明涉及在多节点智能网络应用服务系统中实现剪贴板共享领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,叶剑；李锦涛；史红周；朱珍民；刘伟；苏晓丽,G06F9/50,CN200710064608.0A,2009-06-03,G06F9,0.5
一种提高网络容量的方法,200610088933.6,2006-07-27,本发明公开了一种一种提高网络容量的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,范晶；张国清；秦卓琼,H04L12/24,CN200610088933.6A,2010-06-23,H04L12,0.5
一种面向服务体系结构中消息层软中断处理方法,200510130774.7,2005-12-28,本发明涉及一种面向服务体系结构中消息层软中断处理方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,岳强；徐志伟；李伟,H04L12/24,CN200510130774.7A,2008-10-15,H04L12,0.5
一种面向服务体系结构中消息层异常处理方法,200510130775.1,2005-12-28,本发明公开了一种一种面向服务体系结构中消息层异常处理方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,岳强；徐志伟；李伟,G06F17/30,CN200510130775.1A,2008-12-17,G06F17,0.5
一种多节点智能网络应用服务系统中的会话管理方法,200510069517.7,2005-05-12,本发明涉及一种多节点智能网络应用服务系统中的会话管理方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,"史红周；叶剑；苏晓丽；
李锦涛；朱珍民；郭俊波",G06F9/50,CN200510069517.7A,2009-06-24,G06F9,0.5
一种多节点智能网络应用服务系统中的远程设备访问方法,200510069518.1,2005-05-12,本发明涉及一种多节点智能网络应用服务系统中的远程设备访问方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,叶剑；李锦涛；史红周；朱珍民；郭俊波；顾晓光,G06F16/27,CN200510069518.1A,2009-12-23,G06F16,1
一种服务调试命令发射器及其处理方法,200610127865,2006-09-22,本发明公开了一种一种服务调试命令发射器及其处理方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,岳强；徐志伟；李伟,G06F21/60,CN200610127865A,2008-09-17,G06F21,0.5
一种机群的同步接收系统,200510055944,2005-03-22,本发明公开了一种一种机群的同步接收系统的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,"徐志伟；王海军；蔡季萍
李伟",G06F21/60,CN200510055944A,2009-05-20,G06F21,0.5
一种机群系统及其设计方法,200510059184,2005-03-24,本发明公开了一种一种机群系统及其设计方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,"徐志伟；王海军；蔡季萍；
李伟",H04L29/08,CN200510059184A,2009-01-14,H04L29,0.5
一种数字视频字幕自动翻译方法,200610087132.8,2006-06-13,本发明公开了一种一种数字视频字幕自动翻译方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,钱跃良；熊德意；刘群,H04L12/24,CN200610087132.8A,2009-03-11,H04L12,0.5
合成孔径雷达复数图像数据的实时自动压缩方法,200410004661.8,2004-03-05,本发明涉及合成孔径雷达复数图像数据的实时自动压缩方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,翟杰夫；王贞松,G06F17/30,CN200410004661.8A,2006-11-08,G06F17,0.5
IPv6路由表快速查找和更新的方法,200510086841,2005-11-10,本发明公开了一种IPv6路由表快速查找和更新的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,孙庆南；鲁士文,G06F21/60,CN200510086841A,2009-06-03,G06F21,0.5
一种实现跨管理域文件共享的方法,03141152.5,2003-06-11,本发明公开了一种一种实现跨管理域文件共享的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李伟；徐志伟；梁建民,G06F11/30,CN03141152.5A,2005-06-01,G06F11,0.5
基4和混合基（4+2）FFT处理器地址映射方法和系统,02152484,2002-12-03,本发明涉及基4和混合基（4+2）FFT处理器地址映射方法和系统领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,谢应科,G06F17/30,CN02152484A,2006-07-19,G06F17,0.5
一种虚拟人群运动的三维可视化方法,200610114106,2006-10-27,本发明公开了一种一种虚拟人群运动的三维可视化方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,毛天露；束搏；徐文彬；夏时洪；王兆其,G06F8/65,CN200610114106A,2008-12-03,G06F8,0.5
一种基于时空条带模式分析的新闻主播镜头检测方法,200710099726.5,2007-05-29,本发明涉及一种基于时空条带模式分析的新闻主播镜头检测方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,刘安安；李锦涛；张勇东；唐胜；宋砚,G06N3/04,CN200710099726.5A,2009-10-07,G06N3,0.5
一种多模态融合的采访镜头检测方法,200710099725.0,2007-05-29,本发明公开了一种一种多模态融合的采访镜头检测方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,刘安安；李锦涛；张勇东；唐胜；宋砚,G06F17/30,CN200710099725.0A,2010-05-26,G06F17,0.5
一种自动分割和分类体育视频镜头的方法和装置,200610171524.2,2006-12-30,本发明涉及一种自动分割和分类体育视频镜头和装置领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,杨颖；林守勋；张勇东,G06F21/60,CN200610171524.2A,2009-12-09,G06F21,0.5
一种图形终端界面的编码和解码方法,200610112819.2,2006-09-04,本发明公开了一种一种图形终端界面的编码和解码方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,史红周;李锦涛;梁飞蝶;施振川,G06N3/04,CN200610112819.2A,2009-11-04,G06N3,0.5
一种对编译器中的错误进行自动定位的方法,200510090093.2,2005-08-12,本发明公开了一种一种对编译器中的错误进行自动定位的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,吕方；张军超；连瑞琦；吴承勇,G06F8/65,CN200510090093.2A,2008-12-10,G06F8,0.5
一种基于SIP协议过程特征识别VoIP流量的方法,200610112699.6,2006-08-30,本发明涉及一种基于SIP协议过程特征识别VoIP流量领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,陈敏；张广兴；李士达；杨建华；谢高岗,G06F11/30,CN200610112699.6A,2009-03-04,G06F11,10
一种无线网络节点缓冲数据包处理方法,200510126228.6,2005-11-30,本发明公开了一种一种无线网络节点缓冲数据包处理方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张天乐；刘敏；邓辉,G06F11/30,CN200510126228.6A,2009-04-08,G06F11,5
一种自治系统内网络异常定位的系统和方法,200810102706.3,2008-03-25,本发明公开了一种一种自治系统内网络异常定位和方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,许旭；毕经平；李晔；刘大鹏；杨峰,G06F9/50,CN200810102706.3A,2011-08-03,G06F9,5
一种自治系统内的拓扑处理系统和方法,200810102704.4,2008-03-25,本发明公开了一种一种自治系统内的拓扑处理系统和方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,许旭；毕经平；李晔；刘大鹏,G06F9/50,CN200810102704.4A,2011-06-01,G06F9,5
一种保障移动自组织网络服务质量的方法,200610080988.2,2006-05-26,本发明公开了一种一种保障移动自组织网络服务质量的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,谢高岗；李振宇；陈嘉宁,G06F16/27,CN200610080988.2A,2008-04-23,G06F16,5
一种分域溯源式全局网络安全体系的构建方法,200610011219.7,2006-01-18,本发明公开了一种一种分域溯源式全局网络安全体系的构建方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李彦君；张国清；沈苏彬,G06N3/04,CN200610011219.7A,2009-11-25,G06N3,5
一种IP视频电话系统会话和媒体授权方法,03149321.1,2003-06-26,本发明公开了一种一种IP视频电话系统会话和媒体授权方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,朱海龙；张国清,G06F17/30,CN03149321.1A,2006-02-22,G06F17,0.5
内外网物理隔离方法以及开关装置,00136750.1,2000-12-28,本发明公开了一种内外网物理隔离方法以及开关装置的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,熊锦华；程学旗；郭莉；余智华；白硕；赵洁,G06F11/30,CN00136750.1A,2004-08-25,G06F11,0.5
一种基于光学的运动捕获数据的骨骼运动提取方法,200510053595.8,2005-03-10,本发明涉及一种基于光学的运动捕获数据的骨骼运动提取方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王兆其；文高进；朱登明；夏时洪,G06F3/06,CN200510053595.8A,2008-01-09,G06F3,0.5
一种用计算机创建三维运动的方法,200410086558.2,2004-10-26,本发明公开了一种一种用计算机创建三维运动的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王兆其；黄河；夏时洪；孙永超,G06F16/27,CN200410086558.2A,2007-08-15,G06F16,0.5
一种三维人体模型的网格简化约束方法,200610112517.5,2006-08-22,本发明公开了一种一种三维人体模型的网格简化约束方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王兆其；徐文彬；毛天露；夏时洪,G06F11/30,CN200610112517.5A,2008-07-02,G06F11,0.5
一种虚拟人实时绘制方法,200610089057.9,2006-08-01,本发明公开了一种一种虚拟人实时绘制方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,毛天露；徐文彬；夏时洪；王兆其,G06F17/30,CN200610089057.9A,2008-07-23,G06F17,0.5
一种基于视频内容的人体姿态变形方法,200510012176,2005-07-14,本发明公开了一种一种基于视频内容的人体姿态变形方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,邱显杰；王兆其；夏时洪,G06F9/50,CN200510012176A,2008-02-13,G06F9,0.5
一种用于动态实体的分层避障方法,200710118148.5,2007-06-29,本发明公开了一种一种用于动态实体的分层避障方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,毛天露；王洁；夏时洪；王兆其,H04L29/08,CN200710118148.5A,2009-08-05,H04L29,0.5
一种支持有向有环图的微调度方法,200410029453.3,2004-03-22,本发明公开了一种一种支持有向有环图的微调度方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,"文严治；连瑞琦；刘章林；
吴承勇；张兆庆",G06F8/65,CN200410029453.3A,2007-03-21,G06F8,0.5
一种基于骨骼的任意拓扑结构虚拟角色的驱动方法,200510077287.9,2005-06-21,本发明涉及一种基于骨骼的任意拓扑结构虚拟角色的驱动方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王兆其；李淳芃；朱登明；夏时洪,H04L12/24,CN200510077287.9A,2009-08-19,H04L12,0.5
多维数组在动态随机存取存储器上的快速写方法和装置,200510051442,2005-03-04,本发明涉及多维数组在动态随机存取存储器上的快速写方法和装置领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,莫志锋；韩承德；王贞松,G06F16/27,CN200510051442A,2009-09-09,G06F16,0.5
球门检测和基于球门检测的足球视频精彩事件检测方法,200510135214.0,2005-12-27,本发明涉及球门检测和基于球门检测的足球视频精彩事件检测方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,杨颖；栾焕博；曹娟；张勇东；林守勋,G06F9/50,CN200510135214.0A,2008-12-10,G06F9,0.5
一种电视转播体育视频重放片段检测方法,200510135497.9,2005-12-31,本发明公开了一种一种电视转播体育视频重放片段检测方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,潘雪峰；张勇东；李锦涛,H04L12/24,CN200510135497.9A,2010-05-12,H04L12,0.5
一种光突发交换网中的并行调度处理方法,200510130691.8,2005-12-21,本发明公开了一种一种光突发交换网中的并行调度处理方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李彦君；张国清,G06F3/06,CN200510130691.8A,2010-05-05,G06F3,0.5
一种支持用规则记录变量访问专用寄存器组的处理方法,200510093279.3,2005-08-23,本发明涉及一种支持用规则记录变量访问专用寄存器组的处理方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,贾耀仓；桂剑；霍玮；谷晓铭；张兆庆；冯晓兵,G06F16/27,CN200510093279.3A,2009-11-11,G06F16,0.5
一种基于组合并算法的偏移量分配优化方法,200510082821.5,2005-07-08,本发明公开了一种一种基于组合并算法的偏移量分配优化方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,吴承勇；包斌；张兆庆,H04L12/24,CN200510082821.5A,2008-08-27,H04L12,0.5
一种用于应用层组播的数据恢复方法,200410062602.6,2004-06-30,本发明公开了一种一种用于应用层组播的数据恢复方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,范锐,G06F9/50,CN200410062602.6A,2007-05-16,G06F9,1
一种构造和浏览语义链的方法,200410030280.7,2004-03-23,本发明公开了一种一种构造和浏览语义链的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,诸葛海；贾瑞祥；刘洁；李向,G06F8/65,CN200410030280.7A,2008-01-16,G06F8,0.5
物理网络拓扑发现中“哑元”设备的推测方法,200410036801,2004-04-13,本发明公开了一种物理网络拓扑发现中“哑元”设备的推测方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张国强；张国清,G06F8/65,CN200410036801A,2007-08-22,G06F8,0.5
适于带宽变化的链路分层共享和管理域的带宽重分配方法,200510130689.0,2005-12-21,本发明涉及适于带宽变化的链路分层共享和管理域的带宽重分配方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,史立；鲁士文,G06F9/50,CN200510130689.0A,2008-09-10,G06F9,0.5
一种具有选择性接收能力的数字卫星电视接收装置,200520005147.6,2005-02-28,本发明涉及一种具有选择性接收能力的数字卫星电视接收装置领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,"高文；陈熙霖；屈冬生
张桢睿；孙书韬",G06F3/06,CN200520005147.6A,2006-11-15,G06F3,0.5
